Short title (no more than 55 characters inc. spaces),Legal Development,Suggested action for clients to take,Quadrant,"Ring (Plan, Prepare, Monitor or Action) "
EPCS/MEES,"From 1 April 2023, it has been unlawful for a landlord to continue to let/sublet a commercial property with an EPC rating of ""F"" or ""G"". The minimum standard (an EPC rating of ""E"") needs to be met to continue letting properties under existing leases unless; the MEES Regulations don't apply; the landlord has carried out all cost-effective energy efficiency works, and the property remains sub-standard; or other registered exemptions under the MEES Regulations apply.","These regulations apply in England and Wales only. The impact of this change will depend on a variety of factors e.g., the current EPC rating of commercial property assets and the relevant lease terms regarding MEES compliance/works.

Clients with commercial property assets should assess their portfolio's EPC ratings and lease terms.",Environment and Sustainability ,Plan
,,,,
ICO publishes new fining guidance,"On 18 March the ICO announced that it had published new data protection fining guidance setting out how it decides to issue penalties and calculate fines. 
The guidance covers:
•	The provisions of the UK GDPR and DPA 2018 in respect of which the Commissioner can impose a fine. Annexes 1 and 2 set out these provisions and which level of fine applies to each. The guidance does not cover fines for breach of the Privacy and Electronic Communications Regulations (PECR).
•	The concept of an ""undertaking"". The Commissioner may hold a parent company jointly and severally liable for breaches of its subsidiary.
•	The approach where there is more than one infringement. This differs depending on whether the infringement relates to the same or linked processing operations, or separate conduct.
•	The circumstances in which the Commissioner would consider it appropriate to issue a penalty notice.  The relevant factors are: (i) the seriousness of the infringement, (ii) relevant aggravating or mitigating factors, and (iii) whether issuing a privacy notice in each case is effective, proportionate and dissuasive.
•	The 5-step methodology for calculating a fine: (i) assess the seriousness of the infringement, (ii) account for turnover, (iii) calculate the starting point, (iv) take into account aggravating and mitigating factors, and (v) adjust to ensure the fine is effective, proportionate and dissuasive. ","This does not change the law, but Federated Hermes may wish to review the guidance to assess the risk of non-compliance with data protection law. No action needed – included to help FH assess the risk of non-compliance with data protection law.",Data Protection,Monitor
ICO biometric data guidance,"On 23 February the ICO published the first phase of its guidance on biometric data and biometric technologies. This first phase deals with biometric recognition and was previously published for consultation last year. The guidance covers:
•	Key data protection concepts
•	Biometric recognition 
•	How do we demonstrate our compliance with our data protection obligations? 
•	How do we process biometric data lawfully? 
•	How do we process biometric data fairly? 
•	How does the accuracy principle apply to biometric data?
•	How do we ensure our processing of biometric data is transparent? 
•	How do we consider rights requests for biometric data? 
•	How do we keep biometric data secure?","While ICO guidance is not the law, it provides guidance on how to use biometric technologies in compliance with data protection law and indicates how the ICO intends to enforce the law.
The ICO has recently ordered Serco Leisure and associated community leisure trusts to stop using FRT (facial recognition technology) and fingerprint scanning to monitor workers’ attendance, showing that this is a key enforcement area for the ICO. If FH is collecting and using biometric data, it needs to ensure that it complies with existing data protection law. The draft guidance will assist it to identify the issues and how to address them, but FH may wish to seek external advice, as this is a complex area.
",Data Protection,Plan
ICO cookies warning,"The ICO has announced that it has written to companies running many of the UK’s most visited websites setting out their concerns about ""reject all"" buttons and giving them 30 days to ensure that their websites comply with the law.
On 31 January the ICO published a short update on the letters that it sent in November 2023. The key points are:
•	Of the 53 organisations contacted, 38 organisations have changed their cookies banners to be compliant and four have committed to reach compliance within the next month.
•	Several others are working to develop alternative solutions, including contextual advertising and subscription models. The ICO will provide further clarity on how these models can be implemented in compliance with data protection law in the next month.
•	The ICO is already preparing to write to the next 100 websites – and the 100 after that.
•	The ICO is developing an AI solution to help identify websites using non-compliant cookie banners and will run a ‘hackathon’ event early in 2024 to explore what this AI solution might look like in practice.","The ICO is proactively enforcing the rules about cookie banners, so FH should ensure that its cookie use complies with data protection law, including the Privacy and Electronic Communications Regulations (PECR) and the UK GDPR. If FH has received one of these letters, it should consider how to respond to the ICO to avoid being ""named and shamed"". In addition, it should review the law and guidance on cookies to ensure that its websites are compliant.",Data Protection,Prepare
CNIL fines Amazon for excessive employee monitoring,"On 23 January the CNIL (the French data protection authority) announced that it had fined Amazon France Logistique €32 million for:
•	having set up an excessively intrusive system for monitoring the activity and performance of employees; and
•	conducting video surveillance without providing sufficient information and putting in place sufficient security.
CNIL identified breaches of the following provisions of GDPR:
•	Article 5(1)(c): data minimisation
•	Article 6: lawfulness of processing (Amazon relied on legitimate interests, but the CNIL considered that the processing was excessively intrusive)
•	Articles 12 and 13: transparency and information
•	Article 32: security","While this decision is from the French data protection authority, the ICO's recent guidance and enforcement action against Serco (see the entry on biometric guidance) indicates that this is a priority enforcement area for the ICO. If FH monitors its workers it should ensure that such monitoring is proportionate, it keeps the data obtained secure, and that it provides transparent information to its workers. ",Data Protection,Monitor
Cold calling ban for consumer financial services ,"HM Treasury published a consultation and call for evidence on extending the existing ban on cold calling about pensions to all financial services and products. Some of the key points are:
•	The proposal forms part of the government's Fraud Strategy and is aimed at blocking fraud attempts. The principle is that the public should be made aware that no legitimate firms would use cold calls to market financial services or products, so any cold call must be a scam.
•	The consultation is seeking views on how best to design and implement the ban to prevent scam calls, while allowing legitimate and beneficial communications from businesses to continue.
•	The proposal is to extend the ban on calls for direct marketing in relation to pension schemes under Regulation 21B of PECR to all consumer financial services and products. There is also a suggestion that the ban should be extended to cover live electronic communications (e.g. video and voice calls over social media).
•	The consultation document recognises that there may be circumstances where calls may provide benefits to consumers, where permitted under the existing legislation.
•	It asks whether the existing exception under Regulation 21B(3) of PECR for FCA/PRA authorised businesses where there is an existing client relationship between the caller and the recipient and the relationship is such that the recipient might reasonably envisage receiving unsolicited calls for the purpose of direct marketing in relation to occupational pension schemes or personal pension schemes should also provide an exception to the proposed ban.","If the proposal becomes law, there is a risk that legitimate businesses will be unable to promote their products and services. We have included this for information only at this time. ",Data Protection,Monitor 
Data Protection and Digital Information Bill,"The Bill contains only minor changes from the original Data Protection and Digital Information Bill, but it is intended to make UK data protection law more flexible in a number of areas, including cookie use, the definition of ""personal data"", further processing for a purpose compatible with the original purpose, the rules on when an organisation can refuse a subject access request, the rules on data protection impact assessments, the requirement to maintain a record of processing activity (RoPA) and security requirements. The replacement of the requirement to appoint a DPO with the requirement to appoint a Senior Responsible Individual (SRI) may require National Grid to change its governance structure. 

The reforms to the UK GDPR will predominantly be relevant to UK-based organisations which are not caught by the geographical scope of the EU GDPR.    
The UK Government has stated that organisations which are already compliant with the current UK GDPR and the EU GDPR will not need to make any changes in order to comply with the reforms introduced in the Bill. However, the requirement to appoint a Data Protection Officer (DPO) is being replaced with a requirement to appoint a ""senior responsible individual"" (SRI), which will operate differently.

The increase in the level of fines proposed for breaches of the electronic direct marketing rules under the PECRs will likely have a significant impact, as this is an area where the ICO is quite active. This will significantly increase the risk associated with running direct marketing campaigns which potentially contravene the PECRs.","Because the Bill has been dropped as a result of the announcement of general election, there is no need to take any action, as it now appears unlikely that the Bill will become law in its current form. If the Bill becomes law, National Grid would need to review its data protection governance to consider whether any processes need to be updated. AG will continue to monitor the parties' manifestos for proposals relating to data protection law and regulation.",Data Protection,Plan
EU AI Act,"On 13 March the European Parliament approved the EU AI Act. The regulation is still subject to a final lawyer-linguist check and needs to be formally endorsed by the Council (which has indicated that it would adopt the Act if the Parliament approved it).
The Act regulates the use of AI systems that will affect people located in the EU. The Act:
•	creates four risk levels:
o	Unacceptable risk (e.g., subliminal techniques that case harm) – prohibited
o	High risk (e.g., recruitment or selection of individuals) – strict obligations concerning governance, transparency, safety and control
o	Limited risk – transparency obligations only (i.e., chatbots must make it clear the user is interacting with a machine)
o	Minimal risk – voluntary code of conduct only
•	imposes obligations on providers of general-purpose AI models, according to the level of risk they are considered to present
•	establishes a European AI Board
•	provides for fines of up to 7% of global revenue or €35 million","The Act will regulate the use of AI systems that affect people in the EU, even if the system's supplier or deployer is based outside the EU. If FH proposes to use AI in a way that will affect people (e.g., employees, agents/distributors or customers) in the EU, it should keep abreast of these developments.",Data Protection,Plan
UK approach to AI regulation ,"DSIT published the government's long-awaited response to the consultation on its AI white paper on 6 February. In its response: 
•	The government maintains its stance that some mandatory measures will ultimately be required across all jurisdictions to address potential AI-related harms, ensure public safety, and enable individual to realise the transformative opportunities the technology offers. However, at present, the government has chosen not to introduce AI-specific legislation.
•	The government remains committed to the five cross-sectoral principles proposed in the white paper: (i) Safety, security and robustness; (ii) Appropriate transparency and explainability; (iii) Fairness; (iv) Accountability and governance; (v) Contestability and redress.
•	The government has written to a number of regulators impacted by AI (including the ICO) to ask them to publish an update outlining their strategic approach to AI by 30 April 2024.
•	DSIT will provide updated guidance in spring 2024 to ensure the use of AI in HR and recruitment is safe, responsible and fair. 
•	DSIT is working closely with the Equality and Human Rights Commission to develop new solutions to address bias and discrimination in AI systems.
•	The DPDI Bill expands the lawful bases on which solely automated decisions that have significant effects on individuals will take place.
•	The CMA will take steps to ensure that AI markets work well for all.
•	Later this year, DSIT will launch the AI Management Essentials scheme, setting a minimum good practice standard for companies selling AI products and services.
•	The government will continue to promote safe, secure and trustworthy AI.
•	The government is exploring if and how to introduce targeted measures on developers of highly capable general-purpose AI systems related to transparency requirements (for example, on training data), risk management, and accountability and corporate governance related obligations.
•	The Digital Regulation Cooperation Forum (DRCF) AI and Digital Hub will launch in spring 2024. This will be a pilot multi-regulator advisory service, bringing together the CMA, ICO, Ofcom and the FCA. The pilot phase will focus on providing compliance support.
A private members' bill to introduce AI regulation has passed its second reading in the House of Lords, but this is not expected to become law.
On 15 April, FT reported that the UK government is beginning to craft new legislation to regulate artificial intelligence. Such legislation would probably put limits on the production of large language models, the general-purpose technology that underlies AI products such as OpenAI’s ChatGPT. No timeline has been announced yet.","Included for information only at this time. FH must use AI systems in compliance with existing laws and guidance, including the UK GDPR and the AI guidance issued by the ICO.",Data Protection,Monitor
